route_id,service_id,trip_id,direction_id,trip_headsign,shape_id
WES-RAI-1865,360,4611429,0,Perth Underground Stn,103041
WES-RAI-1865,360,4611430,0,Perth Underground Stn,103041
WES-RAI-1865,360,4611431,0,Perth Underground Stn,103041
WES-RAI-1865,360,4611432,0,Perth Underground Stn,103041
WES-RAI-1865,360,4611433,0,Perth Underground Stn,103041
WES-RAI-1865,360,4611434,0,Perth Underground Stn,103041
WES-RAI-1865,360,4611435,0,Perth Underground Stn,103041
WES-RAI-1865,360,4611436,0,Perth Underground Stn,103041
WES-RAI-1865,360,4611437,0,Perth Underground Stn,103041
WES-RAI-1865,360,4611438,0,Perth Underground Stn,103041
WES-RAI-1865,360,4611439,0,Perth Underground Stn,103041
